Código Tabela Campo;Nome;Descrição;Código Tabela
1;PeriodID;Period indicator;1
10;DebRLTotal;Saldo mensal - débito;2
100;SeqNum;Nº seqüencial;10
1000;ObjectType;Tipo de objeto;43
10000;LineNum;Nº da linha;303
10001;ItemCode;Código do item;303
10002;DprArea;ID da área de depreciação;303
10003;PeriodCat;ID da categoria de período;303
10004;PostPeriod;Subperíodo de lançamento;303
10005;RefDate;Data de lançamento;303
10006;APC;CAP;303
10007;OrdDpr;Depreciação normal;303
10008;UnpDpr;Depreciação não planejada;303
10009;SpDprKey1;Chave de depreciação especial 01;303
1001;ObjectType;Tipo de objeto;44
10010;SpDpr1;Depreciação especial 01;303
10011;Qty;Quantidade;303
10012;DprType;Novo tipo de depreciação;303
10013;DprDate;Nova data de início de depreciação;303
10014;RemLife;Nova vida útil restante;303
10015;SalvageVal;Novo valor residual;303
10016;RecvAsst;Código do item de recebimento;303
10017;RetirDate;Data de aposentadoria;303
10018;SpDprKey2;Chave de depreciação especial 02;303
10019;SpDpr2;Depreciação especial 02;303
1002;RefType;Tipos de referência;44
10020;SpDprKey3;Chave de depreciação especial 03;303
10021;TransType;Tipo de transação;303
10022;UsefulLife;Nova vida útil;303
10023;Appr;Valorização;303
10024;WriteUp;Reavaliação;303
10025;DeltaDays;Restante da vida útil delta em dias;303
10026;NewAstCls;Nova classe de ativo;303
10027;HistOrdDpr;Depreciação normal histórica;303
10028;SpDpr3;Depreciação especial 03;303
10029;TransAmnt;Valor da transação;303
1003;LineNum;Nº da linha;44
10030;Remark;Observações;303
10031;ReTranType;Tipo de transação de recebimento;303
10032;FormNo;Nº do formulário;304
10033;Code;Código;304
10034;UserSign;Assinatura do usuário;304
10035;ExNumData1;Dados numéricos suplementares 1;304
10036;ExNumData2;Dados numéricos suplementares 2;304
10037;ExNumData3;Dados numéricos suplementares 3;304
10038;ExStrData1;Dados de cadeia suplementares 1;304
10039;ExStrData2;Dados de cadeia suplementares 2;304
1004;RefDocNum;Número do documento referenciado;44
10040;ExStrData3;Dados de cadeia suplementares 3;304
10041;VarName;Nome da variável;305
10042;Category;Categoria;305
10043;Parameter;Parâmetro;305
10044;AbsEntry;Nº interno;306
